Product Name,Target,Pathway
Uridine 5'-monophosphate,Endogenous Metabolite,Metabolic Enzyme/Protease
3β-Ursodeoxycholic acid,Others,Others
Glycochenodeoxycholic acid (sodium salt),Apoptosis; Endogenous Metabolite,Apoptosis; Metabolic Enzyme/Protease
N-​Feruloyloctopamine,Akt; p38 MAPK,MAPK/ERK Pathway; PI3K/Akt/mTOR
Phthalic acid,Others,Others
3-Methyladipic acid,Endogenous Metabolite,Metabolic Enzyme/Protease
"1,2,3,6-Tetragalloylglucose",Others,Others
N-Methylhydantoin,Endogenous Metabolite,Metabolic Enzyme/Protease
Eupatorin,Apoptosis,Apoptosis
Isosakuranetin,Others,Others
Diosmetin-7-O-β-D-glucopyranoside,Others,Others
Officinalisinin I,Others,Others
Citronellyl acetate,Apoptosis,Apoptosis
D-Desthiobiotin,Endogenous Metabolite,Metabolic Enzyme/Protease
Quercetin,Apoptosis; Autophagy; Mitophagy; PI3K; Reactive Oxygen Species,Apoptosis; Autophagy; Immunology/Inflammation; Metabolic Enzyme/Protease; NF-κB; PI3K/Akt/mTOR
N-Acetyl-L-tyrosine,Endogenous Metabolite,Metabolic Enzyme/Protease
Parthenolide,Apoptosis; Autophagy; Mitophagy; NF-κB,Apoptosis; Autophagy; NF-κB
Suberosin,NF-κB,NF-κB
Diallyl disulfide,Others,Others
Ferulic acid,Endogenous Metabolite; FGFR,Metabolic Enzyme/Protease; Protein Tyrosine Kinase/RTK
β-Amyrin,Amyloid-β,Neuronal Signaling
Alliin,Others,Others
Taxifolin,Autophagy; Tyrosinase,Autophagy; Metabolic Enzyme/Protease
"2,5-Dimethylpyrazine",Endogenous Metabolite,Metabolic Enzyme/Protease
(-)-Fucose,Endogenous Metabolite; Parasite,Anti-infection; Metabolic Enzyme/Protease
Blumeatin,Others,Others
Glycoursodeoxycholic acid,Endogenous Metabolite,Metabolic Enzyme/Protease
Glucosamine,Autophagy; Endogenous Metabolite; HIF/HIF Prolyl-Hydroxylase; Reactive Oxygen Species,Autophagy; Immunology/Inflammation; Metabolic Enzyme/Protease; NF-κB
p-Coumaric acid,Endogenous Metabolite,Metabolic Enzyme/Protease
Dulcite,Endogenous Metabolite,Metabolic Enzyme/Protease
Quercetin 3-O-(6''-O-malonyl)-β-D-glucoside,Others,Others
D-(+)-Cellobiose,Endogenous Metabolite,Metabolic Enzyme/Protease
Isoeugenol,Bacterial,Anti-infection
Guaijaverin,Bacterial,Anti-infection
Oleanolic Acid,Autophagy; Endogenous Metabolite; HIV,Anti-infection; Autophagy; Metabolic Enzyme/Protease
N-Acetyl-L-methionine,Endogenous Metabolite,Metabolic Enzyme/Protease
N-(p-Coumaroyl) Serotonin,PDGFR,Protein Tyrosine Kinase/RTK
"5,7,3',4'-Tetramethoxyflavone",Fungal; Parasite,Anti-infection
Isorhapontigenin,Autophagy,Autophagy
Sinapaldehyde,Bacterial,Anti-infection
Eugenol,Apoptosis; Bacterial; Ferroptosis; Parasite; Reactive Oxygen Species,Anti-infection; Apoptosis; Immunology/Inflammation; Metabolic Enzyme/Protease; NF-κB
6-Hydroxynicotinic acid,Endogenous Metabolite,Metabolic Enzyme/Protease
Skatole,Aryl Hydrocarbon Receptor; Autophagy; Bacterial; Endogenous Metabolite; Fungal; p38 MAPK,Anti-infection; Autophagy; Immunology/Inflammation; MAPK/ERK Pathway; Metabolic Enzyme/Protease
Coumestrol,Estrogen Receptor/ERR,Others
Kaempferol-7-O-rhamnoside,Glucosidase,Metabolic Enzyme/Protease
Scopolin,Sirtuin,Cell Cycle/DNA Damage; Epigenetics
Danshensu (sodium salt),Autophagy; Endogenous Metabolite,Autophagy; Metabolic Enzyme/Protease
Homovanillic acid,Endogenous Metabolite,Metabolic Enzyme/Protease
L-Tryptophan,Endogenous Metabolite,Metabolic Enzyme/Protease
6-Demethoxytangeretin,Anaplastic lymphoma kinase (ALK),Protein Tyrosine Kinase/RTK
3-Hydroxydodecanoic acid,Endogenous Metabolite,Metabolic Enzyme/Protease
Deoxycorticosterone,Endogenous Metabolite,Metabolic Enzyme/Protease
Albendazole,Apoptosis; Autophagy; Bacterial; HIF/HIF Prolyl-Hydroxylase; Microtubule/Tubulin; Parasite; Reactive Oxygen Species; VEGFR,Anti-infection; Apoptosis; Autophagy; Cell Cycle/DNA Damage; Cytoskeleton; Immunology/Inflammation; Metabolic Enzyme/Protease; NF-κB; Protein Tyrosine Kinase/RTK
2-Hydroxycinnamic acid,Endogenous Metabolite; HIV; SARS-CoV,Anti-infection; Metabolic Enzyme/Protease
Citropten,Others,Others
Hippuric acid,Endogenous Metabolite,Metabolic Enzyme/Protease
Ammonium glycyrrhizinate,Others,Others
Indole-3-butyric acid,Endogenous Metabolite,Metabolic Enzyme/Protease
Methyl 2-(1H-indol-3-yl)acetate,Endogenous Metabolite,Metabolic Enzyme/Protease
Aspirin,Apoptosis; Autophagy; Caspase; COX; Mitophagy; NF-κB; p38 MAPK; Virus Protease,Anti-infection; Apoptosis; Autophagy; Immunology/Inflammation; MAPK/ERK Pathway; NF-κB
Farnesol,Antibiotic; Bacterial; Endogenous Metabolite,Anti-infection; Metabolic Enzyme/Protease
2-Hydroxy-3-methylbutanoic acid,Endogenous Metabolite,Metabolic Enzyme/Protease
D-Ribose(mixture of isomers),Endogenous Metabolite,Metabolic Enzyme/Protease
L-Chicoric Acid,Endogenous Metabolite; HIV; HIV Integrase,Anti-infection; Metabolic Enzyme/Protease
Androsterone,Autophagy; Endogenous Metabolite; FXR,Autophagy; Metabolic Enzyme/Protease
3-Methoxytyramine (hydrochloride),Drug Metabolite; Endogenous Metabolite,Metabolic Enzyme/Protease
2-Hydroxy-2-methylbutanoic acid,Endogenous Metabolite,Metabolic Enzyme/Protease
Emodin-1-O-β-D-glucopyranoside,Others,Others
Esculentoside A,COX; NF-κB,Immunology/Inflammation; NF-κB
Batilol,Endogenous Metabolite,Metabolic Enzyme/Protease
Neoisoliquiritin,Others,Others
Kynurenic acid (sodium),Apoptosis; CXCR; Endogenous Metabolite; iGluR,Apoptosis; GPCR/G Protein; Immunology/Inflammation; Membrane Transporter/Ion Channel; Metabolic Enzyme/Protease; Neuronal Signaling
(-)-Cedrene,Bacterial,Anti-infection
Allopurinol riboside,Drug Metabolite; Endogenous Metabolite; Parasite,Anti-infection; Metabolic Enzyme/Protease
D-Sorbitol,Bacterial; Endogenous Metabolite,Anti-infection; Metabolic Enzyme/Protease
Glutaric acid,Endogenous Metabolite,Metabolic Enzyme/Protease
Mucic acid,Endogenous Metabolite,Metabolic Enzyme/Protease
Dihydroconiferyl alcohol,Others,Others
N-Isovaleroylglycine,Endogenous Metabolite,Metabolic Enzyme/Protease
Transcrocetin meglumine salt,iGluR,Membrane Transporter/Ion Channel; Neuronal Signaling
Isoquercetin,NF-κB; NO Synthase,Immunology/Inflammation; NF-κB
Solanesol,Bacterial; Endogenous Metabolite,Anti-infection; Metabolic Enzyme/Protease
Psoralidin,Bacterial; COX; Lipoxygenase; Notch; Reactive Oxygen Species,Anti-infection; Immunology/Inflammation; Metabolic Enzyme/Protease; Neuronal Signaling; NF-κB; Stem Cell/Wnt
N4-Acetylcytidine,Endogenous Metabolite,Metabolic Enzyme/Protease
"1,4-Dicaffeoylquinic acid",Interleukin Related; TNF Receptor,Apoptosis; Immunology/Inflammation
trans-Zeatinriboside,Endogenous Metabolite,Metabolic Enzyme/Protease
3-Methoxytyramine,Endogenous Metabolite,Metabolic Enzyme/Protease
Ethoxyacetic acid,Endogenous Metabolite,Metabolic Enzyme/Protease
Eicosapentaenoic acid ethyl ester,Endogenous Metabolite,Metabolic Enzyme/Protease
Bisdemethoxycucurmin,Others,Others
(20R)-Protopanaxadiol,Bacterial,Anti-infection
Curcumenol,Cytochrome P450,Metabolic Enzyme/Protease
Xanthosine,Endogenous Metabolite,Metabolic Enzyme/Protease
Deoxycholic acid,Endogenous Metabolite; G protein-coupled Bile Acid Receptor 1,GPCR/G Protein; Metabolic Enzyme/Protease
Imperatorin,Cholinesterase (ChE); TRP Channel,Membrane Transporter/Ion Channel; Neuronal Signaling
Pseudouridine,DNA/RNA Synthesis; Endogenous Metabolite; Nucleoside Antimetabolite/Analog,Cell Cycle/DNA Damage; Metabolic Enzyme/Protease
beta-Mangostin,Apoptosis; Bacterial; Parasite,Anti-infection; Apoptosis
Aripiprazole,5-HT Receptor; Dopamine Receptor,GPCR/G Protein; Neuronal Signaling
alpha-Asarone,GABA Receptor,Membrane Transporter/Ion Channel; Neuronal Signaling
Sodium 2-oxopropanoate,Endogenous Metabolite; Reactive Oxygen Species,Immunology/Inflammation; Metabolic Enzyme/Protease; NF-κB
Withanolide A,Others,Others
Daphnetin,Akt; AMPK; Apoptosis; Autophagy; Bcl-2 Family; Caspase; EGFR; mTOR; Parasite; PARP; PKA; PKC; Reactive Oxygen Species,Anti-infection; Apoptosis; Autophagy; Cell Cycle/DNA Damage; Epigenetics; Immunology/Inflammation; JAK/STAT Signaling; Metabolic Enzyme/Protease; NF-κB; PI3K/Akt/mTOR; Protein Tyrosine Kinase/RTK; Stem Cell/Wnt; TGF-beta/Smad
Leucocyanidin,Others,Others
"trans,trans-2,4-Decadienal",Others,Others
Sennoside A,HIV,Anti-infection
Menadione,Endogenous Metabolite,Metabolic Enzyme/Protease
Manool,Others,Others
Diosgenin glucoside,Apoptosis; Autophagy,Apoptosis; Autophagy
"5,7-Dimethoxyflavone",Cytochrome P450,Metabolic Enzyme/Protease
Undecanoic acid,Endogenous Metabolite; Fungal,Anti-infection; Metabolic Enzyme/Protease
Toringin,Others,Others
Oleoylethanolamide,Endogenous Metabolite; PPAR,Cell Cycle/DNA Damage; Metabolic Enzyme/Protease
Geraniol,Endogenous Metabolite; Fungal,Anti-infection; Metabolic Enzyme/Protease
"2,3-Butanediol",Endogenous Metabolite,Metabolic Enzyme/Protease
Dihydromyricetin,Autophagy; DNA/RNA Synthesis; Influenza Virus; mTOR,Anti-infection; Autophagy; Cell Cycle/DNA Damage; PI3K/Akt/mTOR
Benzoic acid,Bacterial; Endogenous Metabolite; Fungal,Anti-infection; Metabolic Enzyme/Protease
Nootkatone,Others,Others
1-Octanol,Calcium Channel; Endogenous Metabolite,Membrane Transporter/Ion Channel; Metabolic Enzyme/Protease; Neuronal Signaling
Ononin,Others,Others
Fisetin,PPAR; Sirtuin; TNF Receptor,Apoptosis; Cell Cycle/DNA Damage; Epigenetics
Delphinidin 3-glucoside (chloride),Apoptosis; EGFR,Apoptosis; JAK/STAT Signaling; Protein Tyrosine Kinase/RTK
Hydroxocobalamin (monohydrochloride),Endogenous Metabolite,Metabolic Enzyme/Protease
Safranal,Others,Others
Nonacosane,Bacterial,Anti-infection
Oleuropein,Apoptosis; Aromatase; PPAR,Apoptosis; Cell Cycle/DNA Damage; Others
Notoginsenoside Fa,Others,Others
"2,6-Dimethylpyrazine",Others,Others
17α-Hydroxyprogesterone,Endogenous Metabolite; Progesterone Receptor,Metabolic Enzyme/Protease; Others
2′-Deoxyadenosine 5′-monophosphate (disodium),Endogenous Metabolite,Metabolic Enzyme/Protease
S-Adenosyl-L-methionine (tosylate),Endogenous Metabolite,Metabolic Enzyme/Protease
Potassium Gluconate,Endogenous Metabolite; Fungal,Anti-infection; Metabolic Enzyme/Protease
Hexahydrocurcumin,COX; Reactive Oxygen Species,Immunology/Inflammation; Metabolic Enzyme/Protease; NF-κB
Cytarabine (hydrochloride),Autophagy; DNA/RNA Synthesis; HSV; Nucleoside Antimetabolite/Analog,Anti-infection; Autophagy; Cell Cycle/DNA Damage
1-Methylguanosine,Endogenous Metabolite,Metabolic Enzyme/Protease
Loganin,Apoptosis,Apoptosis
Rutin (trihydrate),Endogenous Metabolite,Metabolic Enzyme/Protease
Astilbin,Keap1-Nrf2; NF-κB; TNF Receptor,Apoptosis; NF-κB
Nicotiflorin,Others,Others
alpha-Mangostin,Apoptosis; Bacterial; Fungal; Reactive Oxygen Species; Virus Protease,Anti-infection; Apoptosis; Immunology/Inflammation; Metabolic Enzyme/Protease; NF-κB
Hinokitiol,DNA Methyltransferase; Keap1-Nrf2; Virus Protease,Anti-infection; Epigenetics; NF-κB
5'-Methylthioadenosine,Apoptosis; Endogenous Metabolite,Apoptosis; Metabolic Enzyme/Protease
Hydroxyphenyllactic acid,Endogenous Metabolite; Fungal,Anti-infection; Metabolic Enzyme/Protease
Hypericin,Antibiotic; Apoptosis; Cytochrome P450; Dopamine β-hydroxylase; Influenza Virus; Monoamine Oxidase; PKC; Reverse Transcriptase; Telomerase,Anti-infection; Apoptosis; Cell Cycle/DNA Damage; Epigenetics; Metabolic Enzyme/Protease; Neuronal Signaling; TGF-beta/Smad
Tigogenin,Others,Others
Anacardic Acid,Bacterial; Epigenetic Reader Domain; Histone Acetyltransferase,Anti-infection; Epigenetics
Hispidulin,Pim,JAK/STAT Signaling
Tetrahydrocurcumin,Autophagy; Cytochrome P450; Endogenous Metabolite,Autophagy; Metabolic Enzyme/Protease
trans-Vaccenic acid,Endogenous Metabolite,Metabolic Enzyme/Protease
Osthenol,Monoamine Oxidase,Neuronal Signaling
DL-3-Phenyllactic acid,Bacterial; Endogenous Metabolite,Anti-infection; Metabolic Enzyme/Protease
L-Kynurenine,Aryl Hydrocarbon Receptor; Endogenous Metabolite,Immunology/Inflammation; Metabolic Enzyme/Protease
Didymin,Apoptosis,Apoptosis
Isorhamnetin-3-O-neohespeidoside,Others,Others
Eriodictyol-7-O-glucoside,Keap1-Nrf2,NF-κB
β-Pinene,Bacterial,Anti-infection
Decanedioic acid,Endogenous Metabolite,Metabolic Enzyme/Protease
Isovaleric acid,Endogenous Metabolite,Metabolic Enzyme/Protease
Uric acid (sodium),Endogenous Metabolite; Reactive Oxygen Species,Immunology/Inflammation; Metabolic Enzyme/Protease; NF-κB
5-Methyluridine,Endogenous Metabolite,Metabolic Enzyme/Protease
Melatonin,Apoptosis; Autophagy; Endogenous Metabolite; Melatonin Receptor; Mitophagy,Apoptosis; Autophagy; GPCR/G Protein; Metabolic Enzyme/Protease; Neuronal Signaling
2'-Hydroxy-5'-methylacetophenone,Others,Others
Eicosadienoic acid,Endogenous Metabolite,Metabolic Enzyme/Protease
Quercetin (dihydrate),Apoptosis; PI3K,Apoptosis; PI3K/Akt/mTOR
DL-Alanine,Endogenous Metabolite,Metabolic Enzyme/Protease
Desaminotyrosine,Endogenous Metabolite; Influenza Virus,Anti-infection; Metabolic Enzyme/Protease
SL 0101-1,Ribosomal S6 Kinase (RSK),MAPK/ERK Pathway
Dihydrolanosterol,Cytochrome P450,Metabolic Enzyme/Protease
Adenosine,Apoptosis; Autophagy; Endogenous Metabolite; Nucleoside Antimetabolite/Analog,Apoptosis; Autophagy; Cell Cycle/DNA Damage; Metabolic Enzyme/Protease
2-(2-Methylbenzamido)acetic acid,Endogenous Metabolite,Metabolic Enzyme/Protease
8-Geranyloxypsoralen,Cytochrome P450,Metabolic Enzyme/Protease
Norharmane,Endogenous Metabolite; Monoamine Oxidase,Metabolic Enzyme/Protease; Neuronal Signaling
Isosinensetin,Bacterial; P-glycoprotein,Anti-infection; Membrane Transporter/Ion Channel
Soyasaponin Ab,PPAR,Cell Cycle/DNA Damage
Amoxicillin (trihydrate),Antibiotic; Bacterial,Anti-infection
Avicularin,Apoptosis; COX; ERK; GLUT; NF-κB; PPAR,Apoptosis; Cell Cycle/DNA Damage; Immunology/Inflammation; MAPK/ERK Pathway; Membrane Transporter/Ion Channel; NF-κB; Stem Cell/Wnt
Gamma-Linolenic acid,Endogenous Metabolite,Metabolic Enzyme/Protease
Ethynyl Estradiol,Endogenous Metabolite; Estrogen Receptor/ERR,Metabolic Enzyme/Protease; Others
Flavanone,Aromatase,Others
Licoisoflavone A,Others,Others
Carvacrol,Apoptosis; Endogenous Metabolite; Fungal; Notch,Anti-infection; Apoptosis; Metabolic Enzyme/Protease; Neuronal Signaling; Stem Cell/Wnt
"5a-Pregnane-3,20-dione",Endogenous Metabolite,Metabolic Enzyme/Protease
2-O-Methylcytosine,DNA/RNA Synthesis; Endogenous Metabolite,Cell Cycle/DNA Damage; Metabolic Enzyme/Protease
"(S)-3,4-Dihydroxybutyric acid (lithium hydrate)",Endogenous Metabolite,Metabolic Enzyme/Protease
L-Lactic acid,Antibiotic; Bacterial; Endogenous Metabolite,Anti-infection; Metabolic Enzyme/Protease
2-Benzoxazolinone,Parasite,Anti-infection
Vanillin,Endogenous Metabolite,Metabolic Enzyme/Protease
"4,5-Dicaffeoylquinic acid",Apoptosis; Endogenous Metabolite; Glucosidase; HBV,Anti-infection; Apoptosis; Metabolic Enzyme/Protease
2-Methoxyestrone,Endogenous Metabolite,Metabolic Enzyme/Protease
Uracil,Endogenous Metabolite,Metabolic Enzyme/Protease
Ginsenoside F3,IFNAR; Interleukin Related,Immunology/Inflammation
Allyl methyl sulfide,Bacterial; Endogenous Metabolite,Anti-infection; Metabolic Enzyme/Protease
"2,5-Dihydroxybenzoic acid",Endogenous Metabolite; FGFR,Metabolic Enzyme/Protease; Protein Tyrosine Kinase/RTK
Beta-Cortol,Endogenous Metabolite,Metabolic Enzyme/Protease
Xanthohumol,Acyltransferase; Apoptosis; CMV; COX; HSV; Influenza Virus,Anti-infection; Apoptosis; Immunology/Inflammation; Metabolic Enzyme/Protease
3-Hydroxyanthranilic acid,Endogenous Metabolite,Metabolic Enzyme/Protease
Pyrocatechuic acid,Endogenous Metabolite,Metabolic Enzyme/Protease
Lipoic acid,Endogenous Metabolite; Mitochondrial Metabolism; Reactive Oxygen Species,Immunology/Inflammation; Metabolic Enzyme/Protease; NF-κB
Oxytocin (acetate),Endogenous Metabolite; Oxytocin Receptor,GPCR/G Protein; Metabolic Enzyme/Protease
trans-Zeatin,Endogenous Metabolite; ERK; MEK,MAPK/ERK Pathway; Metabolic Enzyme/Protease; Stem Cell/Wnt
Ferulic acid (sodium),Endogenous Metabolite; FGFR; Reactive Oxygen Species,Immunology/Inflammation; Metabolic Enzyme/Protease; NF-κB; Protein Tyrosine Kinase/RTK
Orotic acid,Endogenous Metabolite; Nucleoside Antimetabolite/Analog,Cell Cycle/DNA Damage; Metabolic Enzyme/Protease
Picropodophyllin,Apoptosis; IGF-1R,Apoptosis; Protein Tyrosine Kinase/RTK
Eupatilin,Autophagy; PPAR,Autophagy; Cell Cycle/DNA Damage
AKBA,Endogenous Metabolite; HIF/HIF Prolyl-Hydroxylase; Reactive Oxygen Species,Immunology/Inflammation; Metabolic Enzyme/Protease; NF-κB
Fumaric acid,Endogenous Metabolite,Metabolic Enzyme/Protease
"L-Hydroxyproline,BioReagent, suitable for cell culture",Endogenous Metabolite,Metabolic Enzyme/Protease
DL-Norvaline,Arginase; Endogenous Metabolite,Immunology/Inflammation; Metabolic Enzyme/Protease
γ-Aminobutyric acid,Endogenous Metabolite; GABA Receptor,Membrane Transporter/Ion Channel; Metabolic Enzyme/Protease; Neuronal Signaling
N-Acetylneuraminic acid,Endogenous Metabolite; Influenza Virus,Anti-infection; Metabolic Enzyme/Protease
"2,6-Diaminoheptanedioic acid",Endogenous Metabolite,Metabolic Enzyme/Protease
N-Methylsarcosine,Endogenous Metabolite,Metabolic Enzyme/Protease
4-Acetamidobutanoic acid,Bacterial; Endogenous Metabolite; GABA Receptor,Anti-infection; Membrane Transporter/Ion Channel; Metabolic Enzyme/Protease; Neuronal Signaling
Galactose 1-phosphate Potassium salt,Endogenous Metabolite,Metabolic Enzyme/Protease
5-Aminovaleric acid,Endogenous Metabolite,Metabolic Enzyme/Protease
2'-Deoxyuridine,Endogenous Metabolite,Metabolic Enzyme/Protease
Adenosine 5'-diphosphate,Endogenous Metabolite,Metabolic Enzyme/Protease
NSC 16590,Endogenous Metabolite,Metabolic Enzyme/Protease
"1,5-Anhydrosorbitol",Endogenous Metabolite,Metabolic Enzyme/Protease
Phosphorylethanolamine,Endogenous Metabolite,Metabolic Enzyme/Protease
N-Glycolylneuraminic acid,Endogenous Metabolite; Influenza Virus,Anti-infection; Metabolic Enzyme/Protease
L-Homocitrulline,Endogenous Metabolite,Metabolic Enzyme/Protease
S-Methyl-L-cysteine,Reactive Oxygen Species,Immunology/Inflammation; Metabolic Enzyme/Protease; NF-κB
Xylobiose,Others,Others
L-Alloisoleucine,Endogenous Metabolite,Metabolic Enzyme/Protease
Sodium 3-methyl-2-oxobutanoate,Endogenous Metabolite,Metabolic Enzyme/Protease
Shikimic acid,Endogenous Metabolite,Metabolic Enzyme/Protease
Dehydroascorbic acid,Endogenous Metabolite,Metabolic Enzyme/Protease
Acetamide,Others,Others
L-Pipecolic acid,Endogenous Metabolite,Metabolic Enzyme/Protease
"Nε,Nε,Nε-Trimethyllysine (chloride)",Endogenous Metabolite,Metabolic Enzyme/Protease
Deoxythymidine-5'-triphosphate (trisodium),DNA/RNA Synthesis; Endogenous Metabolite; Nucleoside Antimetabolite/Analog,Cell Cycle/DNA Damage; Metabolic Enzyme/Protease
Hydroxypyruvic acid,Endogenous Metabolite,Metabolic Enzyme/Protease
β-cyano-L-Alanine,Endogenous Metabolite,Metabolic Enzyme/Protease
L-Lysine hydrochloride,Endogenous Metabolite; Virus Protease,Anti-infection; Metabolic Enzyme/Protease
Sodium oleate,Apoptosis; Na+/K+ ATPase,Apoptosis; Membrane Transporter/Ion Channel
L-Threonine,Endogenous Metabolite,Metabolic Enzyme/Protease
γ-L-Glutamyl-L-alanine,Endogenous Metabolite,Metabolic Enzyme/Protease
D-(-)-Quinic acid,Endogenous Metabolite,Metabolic Enzyme/Protease
3-Methyl-L-histidine,Endogenous Metabolite,Metabolic Enzyme/Protease
Cytidine-5'-triphosphate,DNA/RNA Synthesis; Endogenous Metabolite; Nucleoside Antimetabolite/Analog,Cell Cycle/DNA Damage; Metabolic Enzyme/Protease
Isomaltotriose,Others,Others
Se-Methylselenocysteine,Apoptosis; Endogenous Metabolite,Apoptosis; Metabolic Enzyme/Protease
D-Arginine,Endogenous Metabolite,Metabolic Enzyme/Protease
β-Alanine,Endogenous Metabolite,Metabolic Enzyme/Protease
3-Hydroxyglutaric acid,Endogenous Metabolite,Metabolic Enzyme/Protease
D-Panose,Others,Others
Phosphonoacetic acid,Endogenous Metabolite; Orthopoxvirus,Anti-infection; Metabolic Enzyme/Protease
3-Amino-2-methylpropanoic acid,Endogenous Metabolite,Metabolic Enzyme/Protease
Acetyl Coenzyme A (trisodium),Autophagy; Endogenous Metabolite,Autophagy; Metabolic Enzyme/Protease
N1-Acetylspermidine (hydrochloride),Endogenous Metabolite,Metabolic Enzyme/Protease
Guanidinoethyl sulfonate,Endogenous Metabolite; Others,Metabolic Enzyme/Protease; Others
Fagomine,Others,Others
Imidazole,Endogenous Metabolite,Metabolic Enzyme/Protease
Aspartic acid (calcium),Endogenous Metabolite,Metabolic Enzyme/Protease
L-Arginine (hydrochloride),Endogenous Metabolite; NO Synthase,Immunology/Inflammation; Metabolic Enzyme/Protease
L-Cysteine (hydrochloride),Endogenous Metabolite,Metabolic Enzyme/Protease
Citicoline,Apoptosis; Endogenous Metabolite,Apoptosis; Metabolic Enzyme/Protease
2-Amino-5-ureidopentanoic acid,Endogenous Metabolite,Metabolic Enzyme/Protease
Spaglumic Acid,Endogenous Metabolite,Metabolic Enzyme/Protease
1-Aminocyclopropane-1-carboxylic acid,Endogenous Metabolite,Metabolic Enzyme/Protease
D-Glucose 6-phosphate (disodium salt),Endogenous Metabolite,Metabolic Enzyme/Protease
Guanosine-5'-triphosphate (disodium salt),Endogenous Metabolite,Metabolic Enzyme/Protease
L-2-Hydroxyglutaric acid (disodium),Endogenous Metabolite; Histone Demethylase; Mitochondrial Metabolism,Epigenetics; Metabolic Enzyme/Protease
Escitalopram (oxalate),Serotonin Transporter,Neuronal Signaling
L-Leucine,Endogenous Metabolite; mTOR,Metabolic Enzyme/Protease; PI3K/Akt/mTOR
Histamine,Endogenous Metabolite; Histamine Receptor,GPCR/G Protein; Immunology/Inflammation; Metabolic Enzyme/Protease; Neuronal Signaling
L-Ascorbic acid (sodium salt),Apoptosis; Calcium Channel; Endogenous Metabolite; Reactive Oxygen Species,Apoptosis; Immunology/Inflammation; Membrane Transporter/Ion Channel; Metabolic Enzyme/Protease; Neuronal Signaling; NF-κB
L-Aspartic acid,Endogenous Metabolite,Metabolic Enzyme/Protease
D-Mannitol,Apoptosis; Endogenous Metabolite,Apoptosis; Metabolic Enzyme/Protease
L-Aspartic aicd (sodium),Endogenous Metabolite,Metabolic Enzyme/Protease
Cholic acid (sodium),Endogenous Metabolite,Metabolic Enzyme/Protease
Thiamine monochloride,Bacterial; Endogenous Metabolite,Anti-infection; Metabolic Enzyme/Protease
L-Carnitine,Endogenous Metabolite,Metabolic Enzyme/Protease
Thiamine pyrophosphate,Endogenous Metabolite,Metabolic Enzyme/Protease
L-Glutamic acid (monosodium salt),Apoptosis; Endogenous Metabolite; Ferroptosis; iGluR,Apoptosis; Membrane Transporter/Ion Channel; Metabolic Enzyme/Protease; Neuronal Signaling
Transcrocetinate disodium,iGluR,Membrane Transporter/Ion Channel; Neuronal Signaling
Docusate (Sodium),HSV,Anti-infection
Histamine (phosphate),Histamine Receptor,GPCR/G Protein; Immunology/Inflammation; Neuronal Signaling
DL-Methionine,Parasite,Anti-infection
L-Serine,Bacterial; Endogenous Metabolite,Anti-infection; Metabolic Enzyme/Protease
Citicoline (sodium),Apoptosis; Endogenous Metabolite,Apoptosis; Metabolic Enzyme/Protease
Alendronic acid,Others,Others
Riboflavin (phosphate sodium),Endogenous Metabolite,Metabolic Enzyme/Protease
L-Cysteine,Endogenous Metabolite,Metabolic Enzyme/Protease
Selenomethionine,Autophagy; Endogenous Metabolite,Autophagy; Metabolic Enzyme/Protease
Spermidine (hydrochloride),Endogenous Metabolite,Metabolic Enzyme/Protease
1-Deoxynojirimycin,Glucosidase; PI3K,Metabolic Enzyme/Protease; PI3K/Akt/mTOR
Uridine triphosphate (trisodium salt),Endogenous Metabolite,Metabolic Enzyme/Protease
ATP (disodium trihydrate),Endogenous Metabolite,Metabolic Enzyme/Protease
L-Lysine,Endogenous Metabolite; Virus Protease,Anti-infection; Metabolic Enzyme/Protease
Ginsenoside Rb2,Endogenous Metabolite; Free Fatty Acid Receptor; Influenza Virus,Anti-infection; GPCR/G Protein; Metabolic Enzyme/Protease
L-Ornithine (hydrochloride),Endogenous Metabolite,Metabolic Enzyme/Protease
L-Proline,Endogenous Metabolite,Metabolic Enzyme/Protease
Creatine,Endogenous Metabolite,Metabolic Enzyme/Protease
Ergothioneine,Endogenous Metabolite,Metabolic Enzyme/Protease
L-Norleucine,Endogenous Metabolite; Influenza Virus,Anti-infection; Metabolic Enzyme/Protease
Taurine,Autophagy; Endogenous Metabolite,Autophagy; Metabolic Enzyme/Protease
Flavin adenine dinucleotide (disodium salt),Endogenous Metabolite,Metabolic Enzyme/Protease
L-Citrulline,Endogenous Metabolite,Metabolic Enzyme/Protease
L-Valine,Others,Others
L-Asparagine,Endogenous Metabolite,Metabolic Enzyme/Protease
Ginsenoside Rc,GABA Receptor; Interleukin Related; TNF Receptor,Apoptosis; Immunology/Inflammation; Membrane Transporter/Ion Channel; Neuronal Signaling
cis-4-Hydroxy-L-proline,Endogenous Metabolite,Metabolic Enzyme/Protease
S-Allyl-L-cysteine,Apoptosis,Apoptosis
NAD+,Endogenous Metabolite,Metabolic Enzyme/Protease
L-Glutamine,Endogenous Metabolite; Ferroptosis; mGluR,Apoptosis; GPCR/G Protein; Metabolic Enzyme/Protease; Neuronal Signaling
Pyridoxal phosphate,Endogenous Metabolite; Reverse Transcriptase,Anti-infection; Metabolic Enzyme/Protease
D-Serine,Endogenous Metabolite; iGluR,Membrane Transporter/Ion Channel; Metabolic Enzyme/Protease; Neuronal Signaling
